"name","url","location"
"Data.gov Catalog (collections)","https://catalog.data.gov/csw?service=CSW&version=2.0.2&request=GetCapabilities","38.907231,-77.036464"
"Data.gov Catalog (all metadata)","https://catalog.data.gov/csw-all?service=CSW&version=2.0.2&request=GetCapabilities","38.907231,-77.036464"
"LINZ Data Service","http://data.linz.govt.nz/services/csw?service=CSW&version=2.0.2&request=GetCapabilities","-41.286460,174.776236"
"Data.gov.uk","https://data.gov.uk/csw?service=CSW&version=2.0.2&request=GetCapabilities","51.507351,-0.127758"
"Geodata.gov.gr geodata.gov.gr CSW Geospatial Catalogue","http://geodata.gov.gr/csw?service=CSW&version=2.0.2&request=GetCapabilities","38.054956,23.807655"
"IOOS Catalog","https://data.ioos.us/csw?service=CSW&version=2.0.2&request=GetCapabilities","39.004150,-77.039175"
"NOAA Data Catalog","https://data.noaa.gov/csw?service=CSW&version=2.0.2&request=GetCapabilities","38.990666,-77.026088"
"DOI Data Catalog","https://data.doi.gov/csw?service=CSW&version=2.0.2&request=GetCapabilities","38.907192,-77.036871"
"USGS Coastal and Marine Geoscience Portal","http://gamone.whoi.edu/csw?service=CSW&version=2.0.2&request=GetCapabilities","41.526498,-70.673086"
"U.S. Department of State","http://geonode.state.gov/catalogue/csw?service=CSW&version=2.0.2&request=GetCapabilities","39.0437,-77.4875"
"Harvard Hypermap","http://hh.worldmap.harvard.edu/registry/hypermap/csw?service=CSW&version=2.0.2&request=GetCapabilities","42.373616,-71.109734"
"World Ozone and Ultraviolet Radiation Data Centre (WOUDC)","https://geo.woudc.org/csw?service=CSW&version=2.0.2&request=GetCapabilities","43.782039,-79.468857"
"U.S. Naval Research Laboratory","http://geoint.nrlssc.navy.mil/pycsw/csw.py?service=CSW&version=2.0.2&request=GetCapabilities","30.388758,-89.512008"
"GMU-CSISS Catalogue Service for Unidata","http://cube.csiss.gmu.edu/srv/csw?service=CSW&version=2.0.2&request=GetCapabilities","38.846224,-77.306373"
"SMART Aquifer Characterisation Groundwater Hub Data Catalogue","http://portal.smart-project.info/pycsw/csw?service=CSW&version=2.0.2&request=GetCapabilities","-38.685692,176.07021"
"US National Geothermal Data System","http://search.geothermaldata.org/csw?service=CSW&Version=2.0.2&request=GetCapabilities","32.221743,-110.926479"
"Sistema de Informações Geográficas CIGA","http://mapas.ciga.sc.gov.br/catalogue/csw?service=CSW&version=2.0.2&request=GetCapabilities","-27.596904,-48.549454"
"USGS Coastal Hazards Geospatial Catalogue","http://cida.usgs.gov/coastalchangehazardsportal/csw/?service=CSW&version=2.0.2&request=GetCapabilities","43.097217,-89.504288"
"La Infraestructura de Datos Espaciales de la Universidad del Bio-Bio","http://ide.ubiobio.cl/catalogue/csw?service=CSW&version=2.0.2&request=GetCapabilities","-36.818938,-73.050319"
"UNESCO SIPLAN Venezia e la sua laguna","http://siplan.veniceandlagoon.org/catalogue/csw?request=GetCapabilities&version=2.0.2&service=CSW","45.440847,12.315515"
"Uganda Open Data","http://maps.data.ug/catalogue/csw?service=CSW&version=2.0.2&request=GetCapabilities","0.3156,32.5656"
"Dominode.net","http://dominode.net/catalogue/csw?service=CSW&version=2.0.2&request=GetCapabilities","15.36895,-61.391602"
"Mapa Educativo Nacional - Inicio","http://nodo.mapaeducativo.edu.ar/catalogue/csw?request=GetCapabilities&version=2.0.2&service=CSW","-34.603723,-58.381593"
"Open Data Cincinnati","http://www.opendatacincy.org/catalog/csw?service=CSW&version=2.0.2&request=GetCapabilities","39.103118,-84.51202"
"Open Data Durham","http://opendatadurham.org/catalog/csw?service=CSW&version=2.0.2&request=GetCapabilities","35.994033,-78.898619"
"Secretariat of the Pacific Community","http://geonode.sopac.org/catalogue/csw?service=CSW&version=2.0.2&request=GetCapabilities","-18.141600,178.4419"
"Collaborative Research Centre 806 Database","http://sfb806ckan.geographie.uni-koeln.de/csw?service=CSW&version=2.0.2&request=GetCapabilities","50.937531,6.960279"
