"title","url"
"St Albans City and District Council Amenity Green Space","http://inspirewms.stalbans.gov.uk/INSPIRE/WEBSERVICE/wms.exe?service=wms&request=GetCapabilities"
"Worcester City Council WMS Service","http://inspire.worcester.gov.uk/geoserver/worcester/ows?SERVICE=WMS&request=GetCapabilities"
"Wycombe Inspire Data","http://inspire.wycombe.gov.uk/getows.ashx?Mapsource=Wycombe/Inspire&service=WMS&version=1.1.1&Request=GetCapabilities"
"Fife Cycle Network","http://arcgisweb.fife.gov.uk/geoserver/fife/ows?request=getCapabilities&version=1.3.0&service=WMS"
"Suitable Alternative Natural Green Spaces","https://maps.runnymede.gov.uk/geoserver/environment/suitable_alternative_natural_green_spaces/wms?service=WMS&request=GetCapabilities"
"Amenity Greenspace","http://maps.cheshire.gov.uk/ArcGIS/services/CE/public_wms/MapServer/WmSServer?request=GetCapabilities&service=WMS"
"Amenity Greenspace Buffer","http://maps.cheshire.gov.uk/ArcGIS/services/CE/public_wms/MapServer/WmSServer?request=GetCapabilities&service=WMS"
"Amenity Greenspace Buffer","http://maps.cheshire.gov.uk/ArcGIS/services/CE/public_wms/MapServer/WmSServer?request=GetCapabilities&service=WMS"
"Thurrock Natural & Semi-natural Greenspace","http://essex.astuntechnology.com/getows.ashx?mapsource=Essex/Inspire_Thurrock&service=WMS&request=GetCapabilities&version=1.1.1"
"Greenspaces (UDP June 2006)  - Rochdale Borough Council","http://inspire.misoportal.com/geoserver/rochdale_metropolitan_borough_council_stanneybrook_corridor/wms?request=getCapabilities"
"Harrogate District Amenity Greenspace","https://hbcmaps.harrogate.gov.uk/geoserver/inspire/wms?&request=GetCapabilities"
"Greenspace Sites","http://arcgisweb.fife.gov.uk/geoserver/fife/ows?request=getCapabilities&version=1.3.0&service=WMS"
"Greenspace Access Points","http://arcgisweb.fife.gov.uk/geoserver/fife/ows?request=getCapabilities&version=1.3.0&service=WMS"
"Woodlands In & Around Towns (WIAT)","https://cagmap.snh.gov.uk/arcgis/services/fcs_admin_boundaries/MapServer/WMSServer?request=GetCapabilities&service=WMS"
"Semi Natural Greenspaces","http://inspire.misoportal.com/geoserver/east_staffordshire_borough_counci_semi_natural_greenspaces/wms?request=getCapabilities"
"DSA 2013 Green Space","http://inspire.wycombe.gov.uk/getows.ashx?Mapsource=Wycombe/Inspire&service=WMS&version=1.1.0&Request=GetCapabilities"
"Suitable Alternative Natural Green Spaces","http://www2.guildford.gov.uk/ishare5.2.web/getows.ashx?mapsource=GBC/Inspire&version=1.1.1&request=GetCapabilities&service=WMS"
"Urban Green Space","http://inspire.misoportal.com/geoserver/norwich_city_council_rpa_sr_ug_urbangreenspace/wms?request=getCapabilities"
"Amenity Greenspace","http://inspire.misoportal.com/geoserver/east_staffordshire_borough_counci_amenity_greenspace/wms?request=getCapabilities"
"Amenity Greenspace","http://inspire.oldham.gov.uk:8080/geoserver/wms?service=WMS&request=GetCapabilities"
